date,chamber,avg_leafmass,avg_leafarea,leaves,total_leaf_mass,total_leaf_area,branch_mass,canopy_position,purpose,collector,notes
2013-11-13,C08,0.4819,43.31,3,1.4457,129.93,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-11-13,C08,NA,NA,6,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-11-13,C09,0.3484,37.2833,3,1.0452,111.85,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-11-13,C09,NA,NA,6,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-11-13,C10,0.3105,29.33,3,0.9315,87.99,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-11-13,C10,NA,NA,6,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-11-13,C11,0.6025,50.1133,3,1.8074,150.34,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-11-13,C11,NA,NA,6,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-11-13,C12,0.2861,28.6533,3,0.8582,85.96,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-11-13,C12,NA,NA,6,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-11-26,C01,NA,NA,4 to 6,NA,NA,NA,upper canopy,archive,"amiji, burhan",
2013-11-26,C02,NA,NA,4 to 6,NA,NA,NA,upper canopy,archive,"amiji, burhan",
2013-11-26,C03,NA,NA,4 to 6,NA,NA,NA,upper canopy,archive,"amiji, burhan",
2013-11-26,C04,NA,NA,4 to 6,NA,NA,NA,upper canopy,archive,"amiji, burhan",
2013-11-26,C05,NA,NA,4 to 6,NA,NA,NA,upper canopy,archive,"amiji, burhan",
2013-11-26,C06,NA,NA,4 to 6,NA,NA,NA,upper canopy,archive,"amiji, burhan",
2013-11-26,C07,NA,NA,4 to 6,NA,NA,NA,upper canopy,archive,"amiji, burhan",
2013-11-26,C08,NA,NA,4 to 6,NA,NA,NA,upper canopy,archive,"amiji, burhan",
2013-11-26,C09,NA,NA,4 to 6,NA,NA,NA,upper canopy,archive,"amiji, burhan",
2013-11-26,C10,NA,NA,4 to 6,NA,NA,NA,upper canopy,archive,"amiji, burhan",
2013-11-26,C11,NA,NA,4 to 6,NA,NA,NA,upper canopy,archive,"amiji, burhan",
2013-11-26,C12,NA,NA,4 to 6,NA,NA,NA,upper canopy,archive,"amiji, burhan",
2013-12-02,C01,0.5537,56.2967,3,1.6612,168.89,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-12-02,C01,NA,NA,6,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-12-02,C02,0.3585,46.1467,3,1.0756,138.44,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-12-02,C02,NA,NA,6,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-12-02,C03,0.5495,55.0733,3,1.6486,165.22,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-12-02,C03,NA,NA,6,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-12-02,C04,0.4918,41.65,3,1.4753,124.95,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-12-02,C04,NA,NA,6,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-12-02,C05,0.2907,27.36,3,0.8721,82.08,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-12-02,C05,NA,NA,6,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-12-02,C06,0.1932,26.2867,3,0.5795,78.86,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-12-02,C06,NA,NA,6,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-12-02,C07,0.5718,45.5533,3,1.7154,136.66,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-12-02,C07,NA,NA,6,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-12-02,C08,0.3993,41.7133,3,1.1978,125.14,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-12-02,C08,NA,NA,6,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-12-02,C09,0.379,38.8633,3,1.1369,116.59,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-12-02,C09,NA,NA,6,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-12-02,C10,0.3953,33.3033,3,1.1859,99.91,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-12-02,C10,NA,NA,6,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-12-02,C11,0.636,45.4867,3,1.9079,136.46,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-12-02,C11,NA,NA,6,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-12-02,C12,0.4274,32.9867,3,1.2822,98.96,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-12-02,C12,NA,NA,5,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-12-10,C04,40.26,0.54,1,0.54,40.26,NA,sun,water potential,"campany, courtney",dried/ground
2013-12-10,C04,56.5,0.7,1,0.7,56.5,NA,shade,water potential,"campany, courtney",dried/ground
2013-12-10,C04,45.88,0.52,1,0.52,45.88,NA,sun,water potential,"campany, courtney",dried/ground
2013-12-10,C04,55.76,0.77,1,0.77,55.76,NA,shade,water potential,"campany, courtney",dried/ground
2013-12-10,C05,41.27,0.65,1,0.65,41.27,NA,sun,water potential,"campany, courtney",dried/ground
2013-12-10,C05,46.77,0.59,1,0.59,46.77,NA,shade,water potential,"campany, courtney",dried/ground
2013-12-10,C05,57.52,0.75,1,0.75,57.52,NA,sun,water potential,"campany, courtney",dried/ground
2013-12-10,C05,56.23,0.6,1,0.6,56.23,NA,shade,water potential,"campany, courtney",dried/ground
2013-12-10,C06,40.36,0.4,1,0.4,40.36,NA,sun,water potential,"campany, courtney",dried/ground
2013-12-10,C06,32.82,0.38,1,0.38,32.82,NA,shade,water potential,"campany, courtney",dried/ground
2013-12-10,C06,34.16,0.34,1,0.34,34.16,NA,sun,water potential,"campany, courtney",dried/ground
2013-12-10,C06,36.66,0.37,1,0.37,36.66,NA,shade,water potential,"campany, courtney",dried/ground
2013-12-10,C07,56.28,0.73,1,0.73,56.28,NA,sun,water potential,"campany, courtney",dried/ground
2013-12-10,C07,60.04,0.72,1,0.72,60.04,NA,shade,water potential,"campany, courtney",dried/ground
2013-12-10,C07,53.95,0.56,1,0.56,53.95,NA,sun,water potential,"campany, courtney",dried/ground
2013-12-10,C07,54.04,0.58,1,0.58,54.04,NA,shade,water potential,"campany, courtney",dried/ground
2013-12-11,C02,57.68,0.42,1,0.42,57.68,NA,sun,water potential,"campany, courtney",dried/ground
2013-12-11,C02,38.85,0.4,1,0.4,38.85,NA,shade,water potential,"campany, courtney",dried/ground
2013-12-11,C02,50.89,0.39,1,0.39,50.89,NA,sun,water potential,"campany, courtney",dried/ground
2013-12-11,C02,39.44,0.4,1,0.4,39.44,NA,shade,water potential,"campany, courtney",dried/ground
2013-12-11,C03,57.26,0.61,1,0.61,57.26,NA,sun,water potential,"campany, courtney",dried/ground
2013-12-11,C03,64.2,0.69,1,0.69,64.2,NA,shade,water potential,"campany, courtney",dried/ground
2013-12-11,C03,48.21,0.52,1,0.52,48.21,NA,sun,water potential,"campany, courtney",dried/ground
2013-12-11,C03,41,0.39,1,0.39,41,NA,shade,water potential,"campany, courtney",dried/ground
2013-12-11,C08,64.48,0.56,1,0.56,64.48,NA,sun,water potential,"campany, courtney",dried/ground
2013-12-11,C08,62.14,0.78,1,0.78,62.14,NA,shade,water potential,"campany, courtney",dried/ground
2013-12-11,C08,54.69,0.74,1,0.74,54.69,NA,sun,water potential,"campany, courtney",dried/ground
2013-12-11,C08,52.05,0.85,1,0.85,52.05,NA,shade,water potential,"campany, courtney",dried/ground
2013-12-11,C09,66.52,0.53,1,0.53,66.52,NA,sun,water potential,"campany, courtney",dried/ground
2013-12-11,C09,59.13,0.61,1,0.61,59.13,NA,shade,water potential,"campany, courtney",dried/ground
2013-12-11,C09,57.26,0.74,1,0.74,57.26,NA,sun,water potential,"campany, courtney",dried/ground
2013-12-11,C09,32.36,0.31,1,0.31,32.36,NA,shade,water potential,"campany, courtney",dried/ground
2014-01-16,C01,0.3649,59.5667,3,1.0946,178.7,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2014-01-16,C01,NA,NA,6,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2014-01-16,C02,0.3212,41.0367,3,0.9635,123.11,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2014-01-16,C02,NA,NA,6,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2014-01-16,C03,0.2836,42.65,3,0.8507,127.95,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2014-01-16,C03,NA,NA,6,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2014-01-16,C04,0.3647,33.93,3,1.094,101.79,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2014-01-16,C04,NA,NA,6,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2014-01-16,C05,0.3195,34.1833,3,0.9585,102.55,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2014-01-16,C05,NA,NA,6,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2014-01-16,C06,0.2828,38.21,3,0.8484,114.63,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2014-01-16,C06,NA,NA,6,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2014-01-16,C07,0.6834,55.4233,3,2.0502,166.27,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2014-01-16,C07,NA,NA,6,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2014-01-16,C08,0.461,43.6933,3,1.3829,131.08,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2014-01-16,C08,NA,NA,6,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2014-01-16,C09,0.4795,47.3067,3,1.4385,141.92,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2014-01-16,C09,NA,NA,6,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2014-01-16,C10,0.3395,30.9567,3,1.0185,92.87,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2014-01-16,C10,NA,NA,6,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2014-01-16,C11,0.5571,48.71,3,1.6712,146.13,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2014-01-16,C11,NA,NA,6,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2014-01-16,C12,0.4978,45.73,3,1.4934,137.19,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2014-01-16,C12,NA,NA,6,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2014-01-28,C01,43.34,0.32,1,0.32,43.34,NA,sun,water potential,"campany, courtney",dried/ground
2014-01-28,C01,72.18,0.75,1,0.75,72.18,NA,shade,water potential,"campany, courtney",dried/ground
2014-01-28,C01,49.32,0.36,1,0.36,49.32,NA,sun,water potential,"campany, courtney",dried/ground
2014-01-28,C01,58.56,0.58,1,0.58,58.56,NA,shade,water potential,"campany, courtney",dried/ground
2014-01-28,C05,36.24,0.41,1,0.41,36.24,NA,sun,water potential,"campany, courtney",dried/ground
2014-01-28,C05,45.65,0.59,1,0.59,45.65,NA,shade,water potential,"campany, courtney",dried/ground
2014-01-28,C05,46.31,0.52,1,0.52,46.31,NA,sun,water potential,"campany, courtney",dried/ground
2014-01-28,C05,44.61,0.56,1,0.56,44.61,NA,shade,water potential,"campany, courtney",dried/ground
2014-01-28,C06,44.32,0.5,1,0.5,44.32,NA,sun,water potential,"campany, courtney",dried/ground
2014-01-28,C06,26.01,0.27,1,0.27,26.01,NA,shade,water potential,"campany, courtney",dried/ground
2014-01-28,C06,40.32,0.34,1,0.34,40.32,NA,sun,water potential,"campany, courtney",dried/ground
2014-01-28,C06,34.71,0.38,1,0.38,34.71,NA,shade,water potential,"campany, courtney",dried/ground
2014-01-28,C10,31.48,0.22,1,0.22,31.48,NA,sun,water potential,"campany, courtney",dried/ground
2014-01-28,C10,41.47,0.57,1,0.57,41.47,NA,shade,water potential,"campany, courtney",dried/ground
2014-01-28,C10,29.05,0.31,1,0.31,29.05,NA,sun,water potential,"campany, courtney",dried/ground
2014-01-28,C10,32.73,0.42,1,0.42,32.73,NA,shade,water potential,"campany, courtney",dried/ground
2014-01-28,C11,39.48,0.4,1,0.4,39.48,NA,sun,water potential,"campany, courtney",dried/ground
2014-01-28,C11,38.26,0.47,1,0.47,38.26,NA,shade,water potential,"campany, courtney",dried/ground
2014-01-28,C11,39.7,0.47,1,0.47,39.7,NA,sun,water potential,"campany, courtney",dried/ground
2014-01-28,C11,43.71,0.56,1,0.56,43.71,NA,shade,water potential,"campany, courtney",dried/ground
2014-01-28,C12,36.29,0.33,1,0.33,36.29,NA,sun,water potential,"campany, courtney",dried/ground
2014-01-28,C12,39.21,0.66,1,0.66,39.21,NA,shade,water potential,"campany, courtney",dried/ground
2014-01-28,C12,46.07,0.37,1,0.37,46.07,NA,sun,water potential,"campany, courtney",dried/ground
2014-01-28,C12,44.52,0.59,1,0.59,44.52,NA,shade,water potential,"campany, courtney",dried/ground
2014-01-29,C01,NA,NA,1,NA,NA,NA,upper canopy,rlight campaign,"way, danielle",
2014-01-29,C02,0.3631,37.19,1,0.3631,37.19,NA,upper canopy,rlight campaign,"way, danielle",
2014-01-29,C02,33.41,0.33,1,0.33,33.41,NA,sun,water potential,"campany, courtney",dried/ground
2014-01-29,C02,49.46,0.52,1,0.52,49.46,NA,shade,water potential,"campany, courtney",dried/ground
2014-01-29,C02,35.38,0.36,1,0.36,35.38,NA,sun,water potential,"campany, courtney",dried/ground
2014-01-29,C02,40.36,0.45,1,0.45,40.36,NA,shade,water potential,"campany, courtney",dried/ground
2014-01-29,C03,0.2547,28.82,1,0.2547,28.82,NA,upper canopy,rlight campaign,"way, danielle",
2014-01-29,C04,0.6015,55.46,1,0.6015,55.46,NA,upper canopy,rlight campaign,"way, danielle",
2014-01-29,C05,0.4066,37.78,1,0.4066,37.78,NA,upper canopy,rlight campaign,"way, danielle",
2014-01-29,C06,0.3118,39.82,1,0.3118,39.82,NA,upper canopy,rlight campaign,"way, danielle",
2014-01-29,C07,0.5051,44.21,1,0.5051,44.21,NA,upper canopy,rlight campaign,"way, danielle",
2014-01-29,C07,53.43,0.53,1,0.53,53.43,NA,sun,water potential,"campany, courtney",dried/ground
2014-01-29,C07,62.21,0.94,1,0.94,62.21,NA,shade,water potential,"campany, courtney",dried/ground
2014-01-29,C07,64.25,0.69,1,0.69,64.25,NA,sun,water potential,"campany, courtney",dried/ground
2014-01-29,C07,65.88,1,1,1,65.88,NA,shade,water potential,"campany, courtney",dried/ground
2014-01-29,C08,0.7447,61.92,1,0.7447,61.92,NA,upper canopy,rlight campaign,"way, danielle",
2014-01-29,C08,45.81,0.54,1,0.54,45.81,NA,sun,water potential,"campany, courtney",dried/ground
2014-01-29,C08,66.37,0.83,1,0.83,66.37,NA,shade,water potential,"campany, courtney",dried/ground
2014-01-29,C08,44.04,0.54,1,0.54,44.04,NA,sun,water potential,"campany, courtney",dried/ground
2014-01-29,C08,56.49,0.71,1,0.71,56.49,NA,shade,water potential,"campany, courtney",dried/ground
2014-01-29,C09,0.4145,46.625,1,0.4145,46.625,NA,upper canopy,rlight campaign,"way, danielle",
2014-01-29,C09,49.92,0.48,1,0.48,49.92,NA,sun,water potential,"campany, courtney",dried/ground
2014-01-29,C09,44.44,0.59,1,0.59,44.44,NA,shade,water potential,"campany, courtney",dried/ground
2014-01-29,C09,58.25,0.45,1,0.45,58.25,NA,sun,water potential,"campany, courtney",dried/ground
2014-01-29,C09,35.42,0.61,1,0.61,35.42,NA,shade,water potential,"campany, courtney",dried/ground
2014-01-29,C10,0.2171,32.12,1,0.2171,32.12,NA,upper canopy,rlight campaign,"way, danielle",
2014-01-29,C11,0.4348,36.29,1,0.4348,36.29,NA,upper canopy,rlight campaign,"way, danielle",
2014-01-29,C12,0.3553,26.85,1,0.3553,26.85,NA,upper canopy,rlight campaign,"way, danielle",
2014-01-30,C03,49.89,0.45,1,0.45,49.89,NA,sun,water potential,"campany, courtney",dried/ground
2014-01-30,C03,57.56,0.74,1,0.74,57.56,NA,shade,water potential,"campany, courtney",dried/ground
2014-01-30,C03,48.37,0.42,1,0.42,48.37,NA,sun,water potential,"campany, courtney",dried/ground
2014-01-30,C03,52.71,0.61,1,0.61,52.71,NA,shade,water potential,"campany, courtney",dried/ground
2014-01-30,C04,44.5,0.59,1,0.59,44.5,NA,sun,water potential,"campany, courtney",dried/ground
2014-01-30,C04,42.83,0.39,1,0.39,42.83,NA,shade,water potential,"campany, courtney",dried/ground
2014-01-30,C04,48.7,0.51,1,0.51,48.7,NA,sun,water potential,"campany, courtney",dried/ground
2014-01-30,C04,53.61,0.55,1,0.55,53.61,NA,shade,water potential,"campany, courtney",dried/ground
2014-02-09,C01,NA,50.9329,16,NA,814.927,NA,randomly collected,herbivory experiment,"barnett, kirk",some leaves stored in -80 freezer
2014-02-09,C02,NA,39.5823,16,NA,633.317,NA,randomly collected,herbivory experiment,"barnett, kirk",some leaves stored in -80 freezer
2014-02-09,C03,NA,45.8519,16,NA,733.631,NA,randomly collected,herbivory experiment,"barnett, kirk",some leaves stored in -80 freezer
2014-02-09,C04,NA,39.7541,16,NA,636.066,NA,randomly collected,herbivory experiment,"barnett, kirk",some leaves stored in -80 freezer
2014-02-09,C05,NA,40.5294,16,NA,648.471,NA,randomly collected,herbivory experiment,"barnett, kirk",some leaves stored in -80 freezer
2014-02-09,C06,NA,39.2412,16,NA,627.859,NA,randomly collected,herbivory experiment,"barnett, kirk",some leaves stored in -80 freezer
2014-02-09,C07,NA,59.6356,16,NA,954.169,NA,randomly collected,herbivory experiment,"barnett, kirk",some leaves stored in -80 freezer
2014-02-09,C08,NA,48.8508,16,NA,781.612,NA,randomly collected,herbivory experiment,"barnett, kirk",some leaves stored in -80 freezer
2014-02-09,C09,NA,73.8979,16,NA,1182.366,NA,randomly collected,herbivory experiment,"barnett, kirk",some leaves stored in -80 freezer
2014-02-09,C10,NA,31.8916,16,NA,510.265,NA,randomly collected,herbivory experiment,"barnett, kirk",some leaves stored in -80 freezer
2014-02-09,C11,NA,73.7994,16,NA,1180.791,NA,randomly collected,herbivory experiment,"barnett, kirk",some leaves stored in -80 freezer
2014-02-09,C12,NA,45.5753,16,NA,729.205,NA,randomly collected,herbivory experiment,"barnett, kirk",some leaves stored in -80 freezer
2014-02-17,C01,0.3835,46.8233,3,1.1505,140.47,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2014-02-17,C01,NA,NA,2,NA,NA,NA,upper canopy,"tissue chemistry (metabolites, proteins, rubisco, carbs, RNA)","aspinwall, mike","building s8, -80 freezer, microfuge tubes & envelopes"
2014-02-17,C01,NA,NA,7,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2014-02-17,C02,0.3437,37.3567,3,1.0312,112.07,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2014-02-17,C02,NA,NA,2,NA,NA,NA,upper canopy,"tissue chemistry (metabolites, proteins, rubisco, carbs, RNA)","aspinwall, mike","building s8, -80 freezer, microfuge tubes & envelopes"
2014-02-17,C02,NA,NA,7,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2014-02-17,C03,0.3488,38.4633,3,1.0463,115.39,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2014-02-17,C03,NA,NA,2,NA,NA,NA,upper canopy,"tissue chemistry (metabolites, proteins, rubisco, carbs, RNA)","aspinwall, mike","building s8, -80 freezer, microfuge tubes & envelopes"
2014-02-17,C03,NA,NA,7,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2014-02-17,C04,0.4268,38.39,3,1.2805,115.17,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2014-02-17,C04,NA,NA,2,NA,NA,NA,upper canopy,"tissue chemistry (metabolites, proteins, rubisco, carbs, RNA)","aspinwall, mike","building s8, -80 freezer, microfuge tubes & envelopes"
2014-02-17,C04,NA,NA,7,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2014-02-17,C05,0.407,41.4867,3,1.2209,124.46,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2014-02-17,C05,NA,NA,2,NA,NA,NA,upper canopy,"tissue chemistry (metabolites, proteins, rubisco, carbs, RNA)","aspinwall, mike","building s8, -80 freezer, microfuge tubes & envelopes"
2014-02-17,C05,NA,NA,7,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2014-02-17,C06,0.3252,39.3033,3,0.9756,117.91,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2014-02-17,C06,NA,NA,2,NA,NA,NA,upper canopy,"tissue chemistry (metabolites, proteins, rubisco, carbs, RNA)","aspinwall, mike","building s8, -80 freezer, microfuge tubes & envelopes"
2014-02-17,C06,NA,NA,7,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2014-02-17,C07,0.6568,54.2867,3,1.9705,162.86,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2014-02-17,C07,NA,NA,2,NA,NA,NA,upper canopy,"tissue chemistry (metabolites, proteins, rubisco, carbs, RNA)","aspinwall, mike","building s8, -80 freezer, microfuge tubes & envelopes"
2014-02-17,C07,NA,NA,7,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2014-02-17,C08,0.3952,40.0333,3,1.1855,120.1,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2014-02-17,C08,NA,NA,2,NA,NA,NA,upper canopy,"tissue chemistry (metabolites, proteins, rubisco, carbs, RNA)","aspinwall, mike","building s8, -80 freezer, microfuge tubes & envelopes"
2014-02-17,C08,NA,NA,7,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2014-02-17,C09,0.4109,50.4167,3,1.2326,151.25,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2014-02-17,C09,NA,NA,2,NA,NA,NA,upper canopy,"tissue chemistry (metabolites, proteins, rubisco, carbs, RNA)","aspinwall, mike","building s8, -80 freezer, microfuge tubes & envelopes"
2014-02-17,C09,NA,NA,7,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2014-02-17,C10,0.3287,43.3433,3,0.9862,130.03,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2014-02-17,C10,NA,NA,2,NA,NA,NA,upper canopy,"tissue chemistry (metabolites, proteins, rubisco, carbs, RNA)","aspinwall, mike","building s8, -80 freezer, microfuge tubes & envelopes"
2014-02-17,C10,NA,NA,7,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2014-02-17,C11,0.5827,50.4133,3,1.7482,151.24,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2014-02-17,C11,NA,NA,2,NA,NA,NA,upper canopy,"tissue chemistry (metabolites, proteins, rubisco, carbs, RNA)","aspinwall, mike","building s8, -80 freezer, microfuge tubes & envelopes"
2014-02-17,C11,NA,NA,7,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2014-02-17,C12,0.4141,40.4167,3,1.2424,121.25,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2014-02-17,C12,NA,NA,2,NA,NA,NA,upper canopy,"tissue chemistry (metabolites, proteins, rubisco, carbs, RNA)","aspinwall, mike","building s8, -80 freezer, microfuge tubes & envelopes"
2014-02-17,C12,NA,NA,7,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2014-02-20,C01,NA,NA,32,NA,NA,NA,"2 upper, 2 lower, 8 time points",diurnal carbohydrate patterns,"pfautsch, sebastian","1 leaf stored in -80 freezer for carbs, buidling s8"
2014-02-20,C01,NA,NA,2,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2014-02-20,C02,NA,NA,32,NA,NA,NA,"3 upper, 2 lower, 8 time points",diurnal carbohydrate patterns,"pfautsch, sebastian","2 leaf stored in -80 freezer for carbs, buidling s8"
2014-02-20,C02,NA,NA,2,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2014-02-20,C03,NA,NA,32,NA,NA,NA,"4 upper, 2 lower, 8 time points",diurnal carbohydrate patterns,"pfautsch, sebastian","3 leaf stored in -80 freezer for carbs, buidling s8"
2014-02-20,C03,NA,NA,2,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2014-02-20,C04,NA,NA,32,NA,NA,NA,"5 upper, 2 lower, 8 time points",diurnal carbohydrate patterns,"pfautsch, sebastian","4 leaf stored in -80 freezer for carbs, buidling s8"
2014-02-20,C04,NA,NA,2,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2014-02-20,C05,NA,NA,32,NA,NA,NA,"6 upper, 2 lower, 8 time points",diurnal carbohydrate patterns,"pfautsch, sebastian","5 leaf stored in -80 freezer for carbs, buidling s8"
2014-02-20,C05,NA,NA,2,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2014-02-20,C06,NA,NA,32,NA,NA,NA,"7 upper, 2 lower, 8 time points",diurnal carbohydrate patterns,"pfautsch, sebastian","6 leaf stored in -80 freezer for carbs, buidling s8"
2014-02-20,C06,NA,NA,2,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2014-02-20,C07,NA,NA,32,NA,NA,NA,"8 upper, 2 lower, 8 time points",diurnal carbohydrate patterns,"pfautsch, sebastian","7 leaf stored in -80 freezer for carbs, buidling s8"
2014-02-20,C07,NA,NA,2,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
